XPK_Department,DEPT_ID,DEPT_NAME,LOCATION,XPK_Employee,FK_Department,EMP_ID,FIRST_NAME,LAST_NAME,SALARY,MANAGER_ID
10,10,Data & AI,Sao Paulo,1,10,1,Emp_1,Synthetic,8149,
10,10,Data & AI,Sao Paulo,2,10,2,Emp_2,Synthetic,8383,
10,10,Data & AI,Sao Paulo,4,10,4,Emp_4,Synthetic,7393,
10,10,Data & AI,Sao Paulo,7,10,7,Emp_7,Synthetic,8212,
10,10,Data & AI,Sao Paulo,13,10,13,Emp_13,Synthetic,8315,1
10,10,Data & AI,Sao Paulo,14,10,14,Emp_14,Synthetic,7770,1
10,10,Data & AI,Sao Paulo,15,10,15,Emp_15,Synthetic,11411,1
10,10,Data & AI,Sao Paulo,18,10,18,Emp_18,Synthetic,11824,1
10,10,Data & AI,Sao Paulo,19,10,19,Emp_19,Synthetic,11209,1
10,10,Data & AI,Sao Paulo,27,10,27,Emp_27,Synthetic,11842,2
10,10,Data & AI,Sao Paulo,29,10,29,Emp_29,Synthetic,8396,2
10,10,Data & AI,Sao Paulo,31,10,31,Emp_31,Synthetic,10190,3
10,10,Data & AI,Sao Paulo,32,10,32,Emp_32,Synthetic,9635,3
10,10,Data & AI,Sao Paulo,34,10,34,Emp_34,Synthetic,10835,3
10,10,Data & AI,Sao Paulo,37,10,37,Emp_37,Synthetic,7681,3
10,10,Data & AI,Sao Paulo,39,10,39,Emp_39,Synthetic,8197,3
10,10,Data & AI,Sao Paulo,40,10,40,Emp_40,Synthetic,8195,4
10,10,Data & AI,Sao Paulo,42,10,42,Emp_42,Synthetic,9103,4
10,10,Data & AI,Sao Paulo,50,10,50,Emp_50,Synthetic,11425,5
10,10,Data & AI,Sao Paulo,51,10,51,Emp_51,Synthetic,8586,5
10,10,Data & AI,Sao Paulo,56,10,56,Emp_56,Synthetic,11483,5
10,10,Data & AI,Sao Paulo,58,10,58,Emp_58,Synthetic,11992,5
10,10,Data & AI,Sao Paulo,59,10,59,Emp_59,Synthetic,10252,5
10,10,Data & AI,Sao Paulo,67,10,67,Emp_67,Synthetic,7033,6
10,10,Data & AI,Sao Paulo,72,10,72,Emp_72,Synthetic,7702,7
10,10,Data & AI,Sao Paulo,75,10,75,Emp_75,Synthetic,9576,7
10,10,Data & AI,Sao Paulo,77,10,77,Emp_77,Synthetic,9692,7
10,10,Data & AI,Sao Paulo,78,10,78,Emp_78,Synthetic,11062,7
10,10,Data & AI,Sao Paulo,89,10,89,Emp_89,Synthetic,7245,8
10,10,Data & AI,Sao Paulo,90,10,90,Emp_90,Synthetic,10374,9
10,10,Data & AI,Sao Paulo,91,10,91,Emp_91,Synthetic,10693,9
10,10,Data & AI,Sao Paulo,93,10,93,Emp_93,Synthetic,10744,9
10,10,Data & AI,Sao Paulo,94,10,94,Emp_94,Synthetic,8257,9
10,10,Data & AI,Sao Paulo,96,10,96,Emp_96,Synthetic,7348,9
10,10,Data & AI,Sao Paulo,98,10,98,Emp_98,Synthetic,8732,9
10,10,Data & AI,Sao Paulo,99,10,99,Emp_99,Synthetic,8559,9
10,10,Data & AI,Sao Paulo,108,10,108,Emp_108,Synthetic,8911,
10,10,Data & AI,Sao Paulo,109,10,109,Emp_109,Synthetic,11308,
10,10,Data & AI,Sao Paulo,114,10,114,Emp_114,Synthetic,11600,11
10,10,Data & AI,Sao Paulo,115,10,115,Emp_115,Synthetic,11481,11
10,10,Data & AI,Sao Paulo,116,10,116,Emp_116,Synthetic,7409,11
10,10,Data & AI,Sao Paulo,121,10,121,Emp_121,Synthetic,7703,12
10,10,Data & AI,Sao Paulo,124,10,124,Emp_124,Synthetic,10519,12
10,10,Data & AI,Sao Paulo,136,10,136,Emp_136,Synthetic,9753,13
10,10,Data & AI,Sao Paulo,138,10,138,Emp_138,Synthetic,8228,13
10,10,Data & AI,Sao Paulo,139,10,139,Emp_139,Synthetic,9711,13
10,10,Data & AI,Sao Paulo,149,10,149,Emp_149,Synthetic,8798,14
10,10,Data & AI,Sao Paulo,150,10,150,Emp_150,Synthetic,7143,15
10,10,Data & AI,Sao Paulo,154,10,154,Emp_154,Synthetic,11590,15
10,10,Data & AI,Sao Paulo,155,10,155,Emp_155,Synthetic,11210,15
10,10,Data & AI,Sao Paulo,157,10,157,Emp_157,Synthetic,7326,15
10,10,Data & AI,Sao Paulo,162,10,162,Emp_162,Synthetic,7174,16
10,10,Data & AI,Sao Paulo,165,10,165,Emp_165,Synthetic,9522,16
10,10,Data & AI,Sao Paulo,168,10,168,Emp_168,Synthetic,9878,16
10,10,Data & AI,Sao Paulo,169,10,169,Emp_169,Synthetic,11398,16
10,10,Data & AI,Sao Paulo,172,10,172,Emp_172,Synthetic,10341,17
10,10,Data & AI,Sao Paulo,174,10,174,Emp_174,Synthetic,9969,17
10,10,Data & AI,Sao Paulo,175,10,175,Emp_175,Synthetic,7950,17
10,10,Data & AI,Sao Paulo,182,10,182,Emp_182,Synthetic,11124,18
10,10,Data & AI,Sao Paulo,187,10,187,Emp_187,Synthetic,8200,18
10,10,Data & AI,Sao Paulo,188,10,188,Emp_188,Synthetic,9992,18
10,10,Data & AI,Sao Paulo,189,10,189,Emp_189,Synthetic,9193,18
10,10,Data & AI,Sao Paulo,199,10,199,Emp_199,Synthetic,10942,19
10,10,Data & AI,Sao Paulo,201,10,201,Emp_201,Synthetic,11944,
10,10,Data & AI,Sao Paulo,203,10,203,Emp_203,Synthetic,11473,
10,10,Data & AI,Sao Paulo,204,10,204,Emp_204,Synthetic,7899,
10,10,Data & AI,Sao Paulo,208,10,208,Emp_208,Synthetic,7709,
10,10,Data & AI,Sao Paulo,211,10,211,Emp_211,Synthetic,9835,21
10,10,Data & AI,Sao Paulo,215,10,215,Emp_215,Synthetic,11196,21
10,10,Data & AI,Sao Paulo,220,10,220,Emp_220,Synthetic,7129,22
10,10,Data & AI,Sao Paulo,223,10,223,Emp_223,Synthetic,7702,22
10,10,Data & AI,Sao Paulo,228,10,228,Emp_228,Synthetic,11568,22
10,10,Data & AI,Sao Paulo,232,10,232,Emp_232,Synthetic,9790,23
10,10,Data & AI,Sao Paulo,236,10,236,Emp_236,Synthetic,9848,23
10,10,Data & AI,Sao Paulo,239,10,239,Emp_239,Synthetic,8466,23
10,10,Data & AI,Sao Paulo,242,10,242,Emp_242,Synthetic,8847,24
10,10,Data & AI,Sao Paulo,243,10,243,Emp_243,Synthetic,8773,24
10,10,Data & AI,Sao Paulo,247,10,247,Emp_247,Synthetic,11496,24
10,10,Data & AI,Sao Paulo,248,10,248,Emp_248,Synthetic,11493,24
10,10,Data & AI,Sao Paulo,252,10,252,Emp_252,Synthetic,10576,25
10,10,Data & AI,Sao Paulo,253,10,253,Emp_253,Synthetic,10700,25
10,10,Data & AI,Sao Paulo,255,10,255,Emp_255,Synthetic,11796,25
10,10,Data & AI,Sao Paulo,267,10,267,Emp_267,Synthetic,7800,26
10,10,Data & AI,Sao Paulo,270,10,270,Emp_270,Synthetic,11237,27
10,10,Data & AI,Sao Paulo,272,10,272,Emp_272,Synthetic,9353,27
10,10,Data & AI,Sao Paulo,275,10,275,Emp_275,Synthetic,11093,27
10,10,Data & AI,Sao Paulo,278,10,278,Emp_278,Synthetic,11118,27
10,10,Data & AI,Sao Paulo,279,10,279,Emp_279,Synthetic,8105,27
10,10,Data & AI,Sao Paulo,283,10,283,Emp_283,Synthetic,11862,28
10,10,Data & AI,Sao Paulo,286,10,286,Emp_286,Synthetic,11693,28
10,10,Data & AI,Sao Paulo,287,10,287,Emp_287,Synthetic,9522,28
10,10,Data & AI,Sao Paulo,289,10,289,Emp_289,Synthetic,9250,28
10,10,Data & AI,Sao Paulo,292,10,292,Emp_292,Synthetic,9789,29
10,10,Data & AI,Sao Paulo,293,10,293,Emp_293,Synthetic,9571,29
10,10,Data & AI,Sao Paulo,295,10,295,Emp_295,Synthetic,11018,29
10,10,Data & AI,Sao Paulo,301,10,301,Emp_301,Synthetic,9239,
10,10,Data & AI,Sao Paulo,305,10,305,Emp_305,Synthetic,11353,
10,10,Data & AI,Sao Paulo,307,10,307,Emp_307,Synthetic,10233,
10,10,Data & AI,Sao Paulo,312,10,312,Emp_312,Synthetic,9368,31
10,10,Data & AI,Sao Paulo,315,10,315,Emp_315,Synthetic,8147,31
10,10,Data & AI,Sao Paulo,316,10,316,Emp_316,Synthetic,9197,31
10,10,Data & AI,Sao Paulo,317,10,317,Emp_317,Synthetic,8619,31
10,10,Data & AI,Sao Paulo,318,10,318,Emp_318,Synthetic,8247,31
10,10,Data & AI,Sao Paulo,319,10,319,Emp_319,Synthetic,11621,31
10,10,Data & AI,Sao Paulo,326,10,326,Emp_326,Synthetic,8233,32
10,10,Data & AI,Sao Paulo,333,10,333,Emp_333,Synthetic,11924,33
10,10,Data & AI,Sao Paulo,334,10,334,Emp_334,Synthetic,7968,33
10,10,Data & AI,Sao Paulo,336,10,336,Emp_336,Synthetic,9457,33
10,10,Data & AI,Sao Paulo,340,10,340,Emp_340,Synthetic,7450,34
10,10,Data & AI,Sao Paulo,349,10,349,Emp_349,Synthetic,10149,34
10,10,Data & AI,Sao Paulo,351,10,351,Emp_351,Synthetic,10856,35
10,10,Data & AI,Sao Paulo,354,10,354,Emp_354,Synthetic,11637,35
10,10,Data & AI,Sao Paulo,363,10,363,Emp_363,Synthetic,7452,36
10,10,Data & AI,Sao Paulo,364,10,364,Emp_364,Synthetic,8156,36
10,10,Data & AI,Sao Paulo,365,10,365,Emp_365,Synthetic,11105,36
10,10,Data & AI,Sao Paulo,367,10,367,Emp_367,Synthetic,8984,36
10,10,Data & AI,Sao Paulo,368,10,368,Emp_368,Synthetic,11762,36
10,10,Data & AI,Sao Paulo,370,10,370,Emp_370,Synthetic,9640,37
10,10,Data & AI,Sao Paulo,371,10,371,Emp_371,Synthetic,8190,37
10,10,Data & AI,Sao Paulo,372,10,372,Emp_372,Synthetic,7863,37
10,10,Data & AI,Sao Paulo,374,10,374,Emp_374,Synthetic,11936,37
10,10,Data & AI,Sao Paulo,375,10,375,Emp_375,Synthetic,9911,37
10,10,Data & AI,Sao Paulo,377,10,377,Emp_377,Synthetic,7535,37
10,10,Data & AI,Sao Paulo,384,10,384,Emp_384,Synthetic,7554,38
10,10,Data & AI,Sao Paulo,386,10,386,Emp_386,Synthetic,7880,38
10,10,Data & AI,Sao Paulo,389,10,389,Emp_389,Synthetic,10949,38
10,10,Data & AI,Sao Paulo,392,10,392,Emp_392,Synthetic,10027,39
10,10,Data & AI,Sao Paulo,394,10,394,Emp_394,Synthetic,9025,39
10,10,Data & AI,Sao Paulo,398,10,398,Emp_398,Synthetic,7039,39
10,10,Data & AI,Sao Paulo,400,10,400,Emp_400,Synthetic,11083,
10,10,Data & AI,Sao Paulo,403,10,403,Emp_403,Synthetic,9879,
10,10,Data & AI,Sao Paulo,404,10,404,Emp_404,Synthetic,7026,
10,10,Data & AI,Sao Paulo,408,10,408,Emp_408,Synthetic,9402,
10,10,Data & AI,Sao Paulo,412,10,412,Emp_412,Synthetic,11875,41
10,10,Data & AI,Sao Paulo,413,10,413,Emp_413,Synthetic,11619,41
10,10,Data & AI,Sao Paulo,415,10,415,Emp_415,Synthetic,8358,41
10,10,Data & AI,Sao Paulo,416,10,416,Emp_416,Synthetic,9665,41
10,10,Data & AI,Sao Paulo,417,10,417,Emp_417,Synthetic,7898,41
10,10,Data & AI,Sao Paulo,419,10,419,Emp_419,Synthetic,8019,41
10,10,Data & AI,Sao Paulo,421,10,421,Emp_421,Synthetic,8222,42
10,10,Data & AI,Sao Paulo,422,10,422,Emp_422,Synthetic,9754,42
